cabang,induk
3845,70
3846,11
3847,584
3848,120
3849,445
3850,509
3851,80
3852,84
3853,84
3854,84
3855,84
3856,89
3857,89
3858,89
3859,207
3860,89
3861,89
3862,188
3863,188
3864,188
3865,166
3866,166
3867,166
3868,62
3869,62
3870,67
3871,67
3872,67
3873,90
3874,49
3875,49
3876,49
3877,49
3878,49
3879,49
3880,49
3881,49
3882,148
3883,45
3884,45
3885,45
3886,45
3887,45
3888,45
3889,45
3890,35
3891,35
3892,35
3893,35
3894,35
3895,35
3896,35
3897,262
3898,14
3899,14
3900,14
3901,14
3902,14
3903,14
3904,37
3905,37
3906,37
3907,37
3908,37
3909,37
3910,37
3911,37
3912,37
3913,37
3914,37
3915,37
3916,37
3917,37
3918,37
3919,234
3920,234
3921,234
3922,234
3923,234
3924,234
3925,234
3926,234
3927,234
3928,265
3929,265
3930,265
3931,265
3932,265
3933,263
3934,263
3935,263
3936,42
3937,42
3938,42
3939,42
3940,42
3941,657
3942,657
3943,657
3944,42
3945,42
3946,42
3947,42
3948,657
3949,42
3950,43
3951,43
3952,43
3953,43
3954,43
3955,43
3956,43
3957,43
3958,43
3959,43
3960,43
3961,43
3962,178
3963,178
3964,178
3965,178
3966,265
3967,178
3968,178
3969,87
3970,87
3971,87
3972,87
3973,87
3974,87
3975,87
3976,87
3977,87
3978,87
3979,87
3980,87
3981,87
3982,145
3983,145
3984,145
3985,145
3986,145
3987,264
3988,264
3989,264
3990,264
3991,264
3992,264
3993,264
3994,264
3995,264
3996,408
3997,137
3998,401
3999,354
4001,401
4002,401
4003,401
4004,162
4005,162
4006,162
4007,162
4008,162
4009,162
4010,162
4011,162
4012,162
4013,162
4014,162
4015,162
4016,162
4017,162
4018,162
4019,162
4020,162
4021,162
4022,162
4023,162
4024,162
4025,162
4026,162
4027,162
4028,162
4029,162
4030,162
4031,162
4032,162
4033,162
4034,162
4035,105
4036,104
4037,104
4038,104
4039,104
4040,104
4041,104
4042,104
4043,104
4044,104
4045,104
4046,104
4047,104
4048,104
4049,104
4050,104
4051,104
4052,104
4053,104
4054,104
4055,104
4056,104
4057,104
4058,104
4059,104
4060,104
4061,104
4062,105
4063,105
4064,105
4065,105
4066,105
4067,105
4068,105
4069,105
4070,105
4071,105
4072,105
4073,105
4074,105
4075,105
4076,105
4077,105
4078,105
4079,105
4080,105
4081,105
4082,105
4083,162
4084,105
4085,105
4086,105
4087,181
4088,181
4089,181
4090,181
4091,181
4092,181
4093,181
4094,181
4095,181
